product_name,brand_id,product_link,current_price,original_price,percent_discount
Laptop Asus TUF Gaming A16 Advantage Edition FA617NS-N3486W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-a16-advantage-edition-fa617ns-n3486w.html,22.390.000₫,32.990.000₫,Giảm 32%
Laptop Asus ZenBook 14 OLED UX3402VA-KM203W,2,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3402va-km203w.html,22.690.000₫,25.990.000₫,Giảm 13%
Laptop Asus Vivobook 16 M1605YA-MB303W,2,https://cellphones.com.vn/laptop-asus-vivobook-16-m1605ya-mb303w.html,15.490.000₫,18.490.000₫,Giảm 16%
Laptop Asus VivoBook 14X OLED K3405ZF-KM184W,2,https://cellphones.com.vn/laptop-asus-vivobook-14x-oled-k3405zf-km184w.html,21.990.000₫,25.990.000₫,Giảm 15%
Laptop Asus VivoBook X515EA-EJ3633W,2,https://cellphones.com.vn/laptop-asus-vivobook-x515ea-ej3633w.html,9.990.000₫,11.990.000₫,Giảm 17%
Laptop Asus ROG Flow X16 GV601VV-NL016W,2,https://cellphones.com.vn/laptop-asus-rog-flow-x16-gv601vv-nl016w.html,52.990.000₫,65.990.000₫,Giảm 20%
Laptop Asus VivoBook 14X OLED S3405VA-KM072W,2,https://cellphones.com.vn/laptop-asus-vivobook-14x-oled-s3405va-km072w.html,18.490.000₫,22.990.000₫,Giảm 20%
Laptop Asus TUF Gaming F15 FX507VV4-LP382W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vv4-lp382w.html,32.490.000₫,42.990.000₫,Giảm 24%
Laptop Asus ZenBook S 13 OLED UX5304VA-NQ125W,2,https://cellphones.com.vn/laptop-asus-zenbook-s-13-oled-ux5304va-nq125w.html,32.990.000₫,39.990.000₫,Giảm 18%
Laptop Asus Zenbook 14 Flip OLED UP3404VA-KN038W,2,https://cellphones.com.vn/laptop-asus-zenbook-14-flip-oled-up3404va-kn038w.html,25.290.000₫,29.990.000₫,Giảm 16%
