product_name,current_price,original_price,percent_discount,product_link,brand_name
Laptop Asus TUF Gaming F15 FX507ZU4-LP054W,25990000,34990000,26,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zu4-lp054w.html,asus
Laptop Asus VivoBook X515KA-EJ135W,7290000,7990000,9,https://cellphones.com.vn/laptop-asus-vivobook-x515ka-ej135w.html,asus
Laptop Asus Zenbook 14 OLED UX3402VA-KM068W,26490000,31990000,17,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3402va-km068w.html,asus
Laptop ASUS X515MA-BR481W,6990000,7600000,8,https://cellphones.com.vn/laptop-asus-x515ma-br481w.html,asus
Laptop Asus Vivobook GO 15 E1504FA-NJ454W,12990000,14490000,10,https://cellphones.com.vn/laptop-asus-vivobook-go-15-e1504fa-nj454w.html,asus
Laptop Asus ROG Strix G16 G614JU-N3777W,36990000,43990000,16,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ju-n3777w.html,asus
Laptop ASUS ZenBook UM3402YA-KM074W,17990000,23900000,25,https://cellphones.com.vn/laptop-asus-zenbook-um3402ya-km074w.html,asus
Laptop Asus TUF Gaming F15 FX506HF-HN078W,17290000,20990000,18,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hf-hn078w.html,asus
Laptop Asus ROG Strix G18 G814JI-N6063W,62490000,70990000,12,https://cellphones.com.vn/laptop-asus-rog-strix-g18-g814ji-n6063w.html,asus
Laptop Asus Vivobook Slate OLED T3304GA-LQ021WS,13490000,19990000,33,https://cellphones.com.vn/laptop-asus-vivobook-slate-t3304ga-lq021ws.html,asus
Laptop Asus TUF Gaming A15 FA507NU-LP034W,22390000,31490000,29,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nu-lp034w.html,asus
Laptop Asus VivoBook S 14 FLIP TP3402VA-LZ118W,22890000,26490000,14,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz118w.html,asus
Laptop Asus VivoBook 15 X1504VA-NJ069W,9990000,12690000,21,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-nj069w.html,asus
Laptop Asus Vivobook 15 X1504ZA-NJ582W,9990000,12990000,23,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504za-nj582w.html,asus
Laptop Asus TUF Gaming F15 FX506HE-HN377W,19490000,22990000,15,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506he-hn377w.html,asus
Laptop Asus Gaming ROG Zephyrus G14 GA402NJ-L4056W,33490000,42990000,22,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga402nj-l4056w.html,asus
Laptop Asus VivoBook 15 X1504VA-NJ070W,15490000,18490000,16,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-nj070w.html,asus
Laptop Asus VivoBook S 14 Flip TN3402YA-LZ192W,15990000,18990000,16,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tn3402ya-lz192w.html,asus
Laptop Asus VivoBook 15X OLED S3504VA-L1226W,18490000,21990000,16,https://cellphones.com.vn/laptop-asus-vivobook-15x-oled-s3504va-l1226w.html,asus
Laptop Asus TUF Gaming A16 Advantage Edition FA617NS-N3486W,22390000,32990000,32,https://cellphones.com.vn/laptop-asus-tuf-gaming-a16-advantage-edition-fa617ns-n3486w.html,asus
Laptop Asus ZenBook 14 OLED UX3402VA-KM203W,22690000,25990000,13,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3402va-km203w.html,asus
Laptop Asus Vivobook 16 M1605YA-MB303W,15490000,18490000,16,https://cellphones.com.vn/laptop-asus-vivobook-16-m1605ya-mb303w.html,asus
Laptop Asus VivoBook 14X OLED K3405ZF-KM184W,21990000,25990000,15,https://cellphones.com.vn/laptop-asus-vivobook-14x-oled-k3405zf-km184w.html,asus
Laptop Asus VivoBook X515EA-EJ3633W,9990000,11990000,17,https://cellphones.com.vn/laptop-asus-vivobook-x515ea-ej3633w.html,asus
Laptop Asus ROG Flow X16 GV601VV-NL016W,52990000,65990000,20,https://cellphones.com.vn/laptop-asus-rog-flow-x16-gv601vv-nl016w.html,asus
Laptop Asus VivoBook 14X OLED S3405VA-KM072W,18490000,22990000,20,https://cellphones.com.vn/laptop-asus-vivobook-14x-oled-s3405va-km072w.html,asus
Laptop Asus TUF Gaming F15 FX507VV4-LP382W,32490000,42990000,24,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vv4-lp382w.html,asus
Laptop Asus ZenBook S 13 OLED UX5304VA-NQ125W,32990000,39990000,18,https://cellphones.com.vn/laptop-asus-zenbook-s-13-oled-ux5304va-nq125w.html,asus
Laptop Asus Zenbook 14 Flip OLED UP3404VA-KN038W,25290000,29990000,16,https://cellphones.com.vn/laptop-asus-zenbook-14-flip-oled-up3404va-kn038w.html,asus
Laptop Asus TUF Gaming A15 FA507NU-LP031W,23490000,30490000,23,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nu-lp031w.html,asus
Laptop Asus Zenbook 14 Flip OLED UP3404VA-KN039W,28990000,33990000,15,https://cellphones.com.vn/laptop-asus-zenbook-14-flip-oled-up3404va-kn039w.html,asus
Laptop Asus TUF Gaming F15 FX507ZV4-LP042W,28490000,37490000,24,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zv4-lp042w.html,asus
Laptop Asus ROG Strix G16 G614JI-N4084W,43990000,60990000,28,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ji-n4084w.html,asus
Laptop Asus ExpertBook B1 B1400CBA-EB0641W,14990000,16990000,12,https://cellphones.com.vn/laptop-asus-expertbook-b1-b1400cba-eb0641w.html,asus
Laptop ASUS ZenBook UM5302TA-LX087W,21990000,26100000,16,https://cellphones.com.vn/laptop-asus-zenbook-um5302ta-lx087w.html,asus
Laptop Asus VivoBook 15X OLED S3504VA-L1227WS,21890000,25990000,16,https://cellphones.com.vn/laptop-asus-vivobook-15x-oled-s3504va-l1227ws.html,asus
Laptop Asus TUF Gaming A15 FA507NV-LP046W,26990000,35990000,25,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nv-lp046w.html,asus
